HeadLine	Price	Location	Bed
"
Beautiful Warmsprings House (1300 Sq Feet) Near To 680/880/23...640 Plomosa Court, Fremont, CA, USA"	3400	"Fremont, CA"	3
"
2 Bed 1 Bath Sublease Stating From 1-Mar-2019  Homestead Road, Sunnyvale.185 East Homestead Road, Sunnyvale, CA, USA"	2700	"Sunnyvale, CA"	2
"
Park Hacienda Apartments: 2 Bed 2 Bath For SubLease For 3 Mon...5622 Owens Dr, Pleasanton, CA, USA"	2700	"Pleasanton, CA"	2
"
Rent Credit Of $1000 For The First Month. 1 Min Walk From Cisco.121 East Tasman Drive, San Jose, CA, USA"	2800	"San Jose, CA"	1
"
** Park Kiely -Premium Low Cost Apartment In Cupertino School...4250 Albany Drive, San Jose, CA, USA"	3354	"San Jose, CA"	3
"
Apartment 1Bed 1Bath (Sub-leasing) Close To Bart43555 Grimmer Blvd, Fremont, CA, USA"	1895	"Fremont, CA"	1
"
2Bed 2 Bath Condo In Excellent Condition Fully Upgraded For Lease6210 Civic Terrace Ave, Unit A, Newark, CA, United States"	NA	"Newark, CA"	2
"
Single Family Home For Rent4144 Margery Drive, Fremont, CA, USA"	3200	"Fremont, CA"	3
"
Luxury Town-house 3 Bed 2.5 Bath, Unbeatable Location And Con...633 East El Camino Real, Sunnyvale, CA, USA"	3800	"Sunnyvale, CA"	3
"
Gorgeous Furnished 1bed/1bath Studio Like Back-unit With All ...Berylwood Lane, Milpitas, CA, USA"	1500	"Milpitas, CA"	1
"
2BHK Available For Sub-leaseMansion Grove Apartments, Mansion Park Drive, Santa Clara, CA, USA"	2600	"Santa Clara, CA"	2
"
Warehouse For Rent2931 Whipple Road, Union City, CA, USA"	4250	"Union City, CA"	6000 Sqft
"
$3000 / 2br - 1000ft2 - 2bed/2Bath Townhome Walkable To Fremo...38459 Berkeley Common, Fremont, CA, USA"	3000	"Tracy, CA"	2
"
Beautiful Town Home For Rent In Prime San Jose Location3930 Vista Roma Dr"	3400	"San Jose, CA"	3
"
3 Bed 2.5 Bath Town Home In Evergreen San Jose For Sub Lease ...3505 Jasmine Circle, San Jose, CA, USA"	2500	"San Jose, CA"	3
"
VERY SPACIOUS 1 BEDROOM APARTMENT IN DOWNTOWN PALO ALTO390 Everett Avenue, Palo Alto, CA, USA"	1850	"Palo Alto, CA"	1
"
1BHK Apartment For Rent With A Move In Bonus Of $500/-444 Saratoga Avenue, Santa Clara, CA, USA"	"
2370"	"Santa Clara, CA"	1
"
Close To Bart, Good School, 2 Car Garage + Laundry. Corner Un...37940 Lavender Common, Fremont, CA, USA"	"
3150"	"Fremont, CA"	3
"
Fully Furnished Townhouse Available For Short Term RentalRivermark Parkway, Santa Clara, CA, USA"	NA	"Santa Clara, CA"	3
"
Subletting Beautiful Studio In Fremont (Near Fremont & Washin...40640 High Street, Fremont, CA, USA"	"
1750"	"Fremont, CA"	1
"
Townhouse"	NA	"San Jose, CA"	2
"
Fully Furnished 2.5 Bath REMODELED HOME- DESIRABLE PARKMONT38226 Parkmont Drive, Fremont, CA, USA"	"
3900"	"Fremont, CA"	3
"
$1500 / 2br - 930ft2 - Spacious 2BR/2BA Apartment- Short Term...243 Buena Vista Avenue, Sunnyvale, CA, USA"	"
1500"	"Sunnyvale, CA"	2
"
3 Bed 2.5 Bath Townhouse Available To Rent In Milpitas464 Cascadita Terrace, Milpitas, CA, USA"	"
3250"	"Milpitas, CA"	3
"
Semi Furnished Or Unfurnished 1BR Home For Rent/Sublease- Ideal For Short ...755 East Capitol Avenue"	"
2000"	"Milpitas, CA"	1
"
Room For Rent With Delicious Indian Food + Utilities1544 Four Oaks Cir, San Jose, CA, USA"	"
1400"	"San Jose, CA"	1
"
39372_DrakeWay_fremont_9453839372 Drake Way, Fremont, CA, USA"	"
3200"	"Fremont, CA"	3
"
House For RentJerome Avenue, Fremont, CA, USA"	"
2200"	"Fremont, CA"	1
"
1Bed 1Bath Apt Available For Sub-lease In North San Jose135 Rio Robles East"	"
2400"	"San Jose, CA"	1
"
1bed/1bath In Fremont School District Available For Rent Watermark Place -...1525 White Birch Terrace, Fremont, CA, USA"	"
2600"	"Fremont, CA"	1
"
Tutoring Space In Central Location Near El Camino Real (santa Clara)Flora Vista Avenue, Santa Clara, CA, USA"	"
1000"	"Los Gatos, CA"	1000 Sqft
"
Master Bedroom In A 2 Bedroom Apartment  Century Towers Avail...Century Towers, North 1st Street, San Jose, CA, USA"	"
1910"	"San Jose, CA"	1
"
Brand New Luxurious Duplex Home In Most Sought Location - San...3371 Creighton Place, Santa Clara, CA, USA"	"
2800"	"Santa Clara, CA"	2
"
2 Bed/2.5-1270 Sq Ft Townhome Located In 95133"	"
2900"	"San Jose, CA"	2
"
Beautiful Townhome Available For Rent (just In Time!!)7568 Brigadoon Way, Dublin, CA, USA"	"
3250"	"Dublin, CA"	3
"
2 BED 1 BATH (MOVE IN BONUS) HIGH TECH CENTER  OF  MOUNTAIN VIEW657 Escuela Avenue, Mountain View, CA, USA"	"
2600"	"Mountain View, CA"	2
"
Move In Ready 2 Bedroom 1 Bath Condo37387 Sequoia Road, Fremont, CA, USA"	"
2350"	"Fremont, CA"	2
"
Priya Living - Open House “Swag Se Karenge Sabka Swagat “93867 Fremont Boulevard, Fremont, CA, USA"	"
2099"	"Fremont, CA"	1
"
2B/2BA Condo Within Walking Distance Of Levi's Stadium1883 Agnew Road, Santa Clara, CA, USA"	"
3100"	"Santa Clara, CA"	2
"
Shared 2BR/BA In NOPA Apartment Building999 Fell Street, San Francisco, CA 94117, USA"	"
1190"	"San Francisco, CA"	2
"
Room Wlkbl2 Facebook - Pvt Fully Frnsh'd SNGL BR Home Avbl NO...University Avenue and Xavier St, east Palo Alto, CA, USA"	"
3000"	"Palo Alto, CA"	1
"
Master Bedroom In A 2bd/2ba Apartment Available To Rent.  3 Mins Walk From...24 Union Square, Union City, CA, USA"	"
1650"	"Union City, CA"	1
"
Wanted Fully Furnished APT For Rent From March 15 To April 74312 Albany Dr"	"
1900"	"San Jose, CA"	1
"
2 Bed Room Available Immediately2719 Morgan Dr, San Ramon, CA, USA"	"
2550"	"San Ramon, CA"	2
"
Shared Accommodation For 6 Months AvailableApple Campus, Cupertino, CA, USA"	"
1250"	"Cupertino, CA"	1
"
Individual 1 Bedroom Available For 3 - 6 Months In Fully Furn...San Petra Court, Milpitas, CA, USA"	"
1200"	"Milpitas, CA"	3
"
Brand New 1 Bedroom Studio, Wooden Floor, New Appliances, Til...4459 Gertrude Drive, Fremont, CA, USA"	"
1600"	"Fremont, CA"	1
"
4 Bed 2.5 Bath Single Family Home4707 Cheeney Street, Santa Clara, CA, USA"	"
4200"	"Santa Clara, CA"	4
"
1bd/1br Close To Bart With A View25 Poncetta Drive, Daly City, CA, USA"	"
2500"	"Daly City, CA"	1
"
$2600 / 1br - 500ft2 - Prime Pac Hgts Junior 1BR For Rent (pa...2211 California St, San Francisco, CA, USA"	"
2600"	"San Francisco, CA"	1
"
1 Bed 1 Bath Apartment(629 Sq Ft) Available For Sublease At 3400 Stevenson...3400 Stevenson Boulevard, Fremont, CA, USA"	NA	"Fremont, CA"	1
"
1 Bedroom Apartment Close To Rivermark Area1700 Nantucket Circle, Santa Clara, CA, USA"	"
2800"	"Santa Clara, CA"	1
"
Renting Out Townhouse Or Single Room At Sunnyvale For 2 Weeks. Great Locat...1035 Aster Ave"	"
1000"	"Sunnyvale, CA"	2
"
$3500 / 4BR - 1881 - GORGEOUS NEWER UNION CITY HOME - One Of The Nicest 4 ...34365 pinnacles ct"	"
3500"	"Union City, CA"	4
"
One B Ed Room Apartment For Rent San Leandro2125 Harte Circle, San Leandro, CA, USA"	"
1300"	"San Leandro, CA"	1
"
2 BR/1B Apartment For Rent10200 Miller Ave"	"
3095"	"Cupertino, CA"	2
"
Beautiful 2018 Built 3 Bed & 2.5 Bath One Level Townhome1183 Merry Loop, Milpitas, CA, USA"	"
3600"	"Milpitas, CA"	3
"
Beautiful 2018 Built 3 Bed & 2.5 Bath On One Level1183 Merry Loop, Milpitas, CA, USA"	"
3600"	"Milpitas, CA"	3
"
Town Home For Rent Near Treat Cowell IntersectionCowell Road, Concord, CA, USA"	"
2020"	"Concord, CA"	2
"
1 Bed 1.5 Bath Town Home For Rent565 Cityscape Place, San Jose, CA, USA"	"
2250"	"San Jose, CA"	1
"
Subleasing 1Bed/1Bath Apartment In West San Jose Starting April 1st347 Kiely Blvd, San Jose, CA, USA"	"
2150"	"San Jose, CA"	1
"
Apartment To SubleaseSanta Clara Street, Hayward, CA, USA"	"
1550"	"Hayward, CA"	1
"
New Single Family House For Rent650 Vasona Street, Milpitas, CA, USA"	"
3690"	"Milpitas, CA"	3
"
Studio With Attached Full Bath, Kitchen; All Utilities Includ..."	"
1450"	"Fremont, CA"	1
"
2B/2Ba Apartment, Cupertino Schools, Walking Distance To Supe...4251 Norwalk Drive, San Jose, CA, USA"	"
2690"	"San Jose, CA"	2
"
Looking To Sublease A 2.5 Bed / 2 Bath - 1050 Sqft With Patio And In-house...3610 Flora Vista Avenue, Santa Clara, CA, USA"	"
1550"	"Santa Clara, CA"	2
"
2 Bedroom Apartment In Sunnyvale Great Price, Will Go Soon!1332 South Wolfe Road, Sunnyvale, CA, USA"	"
1750"	"Sunnyvale, CA"	2
"
Park Hacienda Apartments: 2 Bed 2 Bath For SubLease For 3 Mon...5622 Owens Drive, Pleasanton, CA, USA"	"
2700"	"Pleasanton, CA"	2
"
Transfer 4 Month Lease Of 1 BHK Apartment In Foster City, Excellent Location730 Marlin Ave"	"
2700"	"Foster City, CA"	1
"
1 BR Semi Furnished Apartment Available In Nice Locality In F...Fremont, CA, USA"	"
2175"	"Fremont, CA"	1
"
Studio Apartment For Rent5615 Carpinteria Avenue, Carpinteria, CA, USA"	"
1295"	"Carpinteria, CA"	1
"
Spacious 2-BR/2-Bath (Two Master BR Suites) 1150 Sq.Ft Next T..."	"
2650"	"San Jose, CA"	2
"
Looking To Rent/sub Lease Apartment1235 wild wood ave"	"
2750"	"Sunnyvale, CA"	2
"
Very Nice And Bright Including Cable,water,washer,dryer And G...Kenbrook Circle, San Jose, CA, USA"	"
1879"	"San Jose, CA"	1
"
2 Bed 1 Bath In Law Unit .Walkable Distance To School2 Bed 1 Bath Brand New In Law Unit For Rent"	"
1950"	"Tracy, CA"	2
"
4 Bed 3.5 Bath Brand New Home.Walkable Distance To School.1294 S Hart Ct,Mountain House"	"
2700"	"Tracy, CA"	4
"
Great 1BD At 1200 California St,San Francisco, CA1200 California Street, San Francisco, CA, USA"	"
2550"	"San Francisco, CA"	1
"
2Bed-2 Bath Apartment Available For Sublease/transferDixon Road, Milpitas, CA 95035, USA"	"
2600"	"Milpitas, CA"	2
"
Beautiful 2 Bed / 2 Bath Apartment Available For Sublease 3rd...3608 Flora Vista Avenue, Santa Clara, CA, USA"	"
2995"	"Santa Clara, CA"	2
"
3 Bedroom Town/Condo For Rent In Irvington3999 Wildflower Common, Fremont, CA, USA"	"
3200"	"Fremont, CA"	3
"
3 Bedroom Townhome In San Ramon3647 Crow Canyon Road, San Ramon, CA, USA"	"
3000"	"San Ramon, CA"	3
"
San Jose/Berryessa- 2 Bed Rm, 1+ Bath Updated - $2600 (Partially Furnished)Trade Zone/Capitol Express way - Berryessa Area"	"
2600"	"San Jose, CA"	2
"
2 Bed 2.5 Bath 1235 Sqft Townhouse New Lease In Fremont. First Month Rent ...38660, Lexington Street"	"
3000"	"Fremont, CA"	2
"
4 Bedroom New Home In North Natomas3056 Island Creek Way, Sacramento, CA, USA"	"
2500"	"Fremont, CA"	4
"
2x2 Apartment For Rent At Sunnyvale - Mountain View Border, A...243 Buena Vista Avenue, Sunnyvale, CA, USA"	"
2925"	"Sunnyvale, CA"	2
"
Beautiful Studio - 2nd Flr Of A Single Family Home With Priva...Davona Drive, Dublin, CA, USA"	"
1600"	"Dublin, CA"	1
"
In Law Suit For RentPeralta Boulevard, Fremont, CA, USA"	"
1300"	"Fremont, CA"	1
"
Single Independent Room (Male)Guardino Drive, Fremont, CA, USA"	"
1200"	"Fremont, CA"	2
"
Beautiful Town House (1600 Sq Feet) In San Jose Area For Rent...3596 Klaus Drive, San Jose, CA, USA"	"
3500"	"San Jose, CA"	3
"
500ft2 - $1500/1br - One Bed-Room Studio (Milpitas) With A Pr...Yellowstone Avenue, Milpitas, CA, USA"	"
1500"	"Milpitas, CA"	1
"
2B/2B Spacious Unit Available For Rent Near Cisco350 RIVER OAKS PKWY"	"
3200"	"San Jose, CA"	2
"
1.5B/1B (With Den) Available For Sublease - 824 Sq Ft"	"
2300"	"San Jose, CA"	1
"
1BR With Attached Bath Available At Opp To Milpitas BART Station867 Pepper Place, Milpitas, CA, USA"	"
1200"	"Milpitas, CA"	1
"
2 Bed 1 Bath Sublease Available In Irvington School District4200 Bay Street, Fremont, CA, USA"	"
2300"	"Fremont, CA"	2
"
Prime View Apartment(2 Bed 1 Bath) Available For Sub Lease For 4 Months .....39370 Civic Center Drive, Fremont, CA, USA"	"
3200"	"Fremont, CA"	2
"
1-BR For Sub-lease In Santa Clara3765 Tamarack Lane, Santa Clara, CA, USA"	"
2375"	"Santa Clara, CA"	1
"
Move In Ready 1 Bedroom 1 Bath Apartment"	"
1875"	"Fremont, CA"	1
"
ONE BEDROOM AND LIVING ROOM FOR RENTFlora Vista Avenue, Santa Clara, CA, USA"	"
1500"	"Santa Clara, CA"	2
"
1 Bed 1 Bath Apt Available For Short-term Sublease ( 03 Months)5055 Dent Avenue, San Jose, CA, USA"	"
2100"	"San Jose, CA"	1
"
2 Bed Room And 2 Bath Available In Fremont Near To Bart1230 Beethoven Common, Fremont, CA, USA"	NA	"Fremont, CA"	2
"
Beautiful Apartment For Sub-lease For 3 Months (Close To Apple And PayPal ...5055 Dent Avenue, San Jose, CA, USA"	"
2100"	"San Jose, CA"	1
"
1023 Phelps Ave West San Jose Spacious 2 Story House1023 Phelps Avenue, San Jose, CA, USA"	"
4500"	"San Jose, CA"	4
"
In Law Unit"	"
2000"	"San Jose, CA"	200 Sqft
"
2 Beds 2 Baths Apartment For Rent1835 Midnight Cir, San Jose, CA 95133, USA"	"
2800"	"San Jose, CA"	2
"
2 Bed 1.5 Bath - Two Story Home Available For Rent5036 Bridgepointe Pl, Union City, CA 94587, USA"	"
2425"	"Union City, CA"	2
"
3 BR / 1.5B And 2 Car Garage. 1342ft2 Townhouse Available4228 Comet Cir, Union City, CA 94587, USA"	"
2900"	"Union City, CA"	3
