,Title,Price,Location,Bed
40,RV space for rent in Prundale .,1100, Prunedale,NA
41,Furnished Bedroom + Private Entrance + Private Bath,1100, san jose east,1
42,Furnished Bedroom Bathroom private entrance In Single Family house,1100, san jose east,1
43,åŒ—San Jose Berryessaå…¨æ–°å·¥ä¸šé£Žæ°‘,1100, san jose downtown,1
44,Reduced!CLEAN LARGE RM FOR RENT  IN 2BDRM FOR QUIET PROFESSIONAL,1125, santa clara,2
45,Private room with private bathroom for rent,1150, san jose downtown,"2
1100ft2"
46,Private Bedroom in Elk Ridge Estates Off 87 & Hillsdale.,1150, san jose downtown,1
47,ðŸ’™ðŸ’™ Cozy private furnished room for rent ðŸ’™ðŸ’™,1160, sunnyvale,1
48,Fully Furnished Room Private Entrance,1175,NA,1
49,Nice and clean room for rent utilities included,1175,NA,1
50,1 Master Bedroom for Rent in a 4bed/4bath Modern Townhouse,1200, san jose downtown,"1
100ft2"
51,PRIVATE ROOM AVAILABLE FOR TRAVEL RN,1200, santa clara,1
52,Need a roommate!! $1200 private br/bth,1200, willow glen / cambrian,2
53,Private furnished room for rent,1200, sunnyvale,1
54,Fully Furnished one room near Apple for rent,1200, sunnyvale,"1
250ft2"
55,"1B1B for rent in 4B4B Mount View Townhouse,San Jose,95136",1200, san jose south,1
56,Studio--South SJ,1200, san jose south,NA
57,1 BR 1 BA in a nice spacious house,1200, sunnyvale,"1
1600ft2"
58,Excellent location Nice 1BR 1BA in a house,1200, sunnyvale,"1
1600ft2"
59,PRIVATE ROOM AVAILABLE FOR TRAVEL RN,1200, santa clara,1
60,"Newly Renovated Bedroom - Private Bathroom, Private Entrance",1200, milpitas,1
61,"Luxury Master Bedroom Suite - Private Bathroom,Private Entrance",1200, milpitas,1
62,æ–°è£ä¿®å¥—æˆ¿ç¨ç«‹è¡›ç”Ÿé–“,1200, milpitas,1
63,"1BR/1BA, Almaden/Los Gatos Border, South and West San Jose",1200, San Jose,1
64,Cozy Living place,1200, san jose north,1
65,Nice & Cozy place ~,1200, milpitas,1
66,One Bedroom Suite Available immediately!,1200, sunnyvale,1
67,"Quite,quaint and personal Cupertino gem",1200, Cupertino,"1
700ft2"
68,Nice & Cozy place ~,1200, milpitas,1
69,Nice & Cozy place ~,1200, san jose north,1
70,3220 Pearl Ave,1200, san jose north,"1
690ft2"
71,Townhome,1200, San Jose,1
72,Nice & Cozy place ~,1200, N. San Jose,1
73,*Sunnyvale *1BR studio apartment(Downtown),1200, sunnyvale,1
74,1 BD APT IN THE COUNTRY,1200, Gilroy,NA
75,"$1,200 Master Bedrooms in Quiet Neighborhood North SJ",1200, san jose north,"1
1350ft2"
76,Nice Studio for lease ç‹¬ç«‹å¥—æˆ¿å‡ºç§Ÿ,1200, san jose west,"1
200ft2"
77,3220 Pearl Ave,1200, san jose south,"1
690ft2"
78,"spectacular OCEAN views and  Walk to beach, 2 plus 2, one story",1224," la Mision, Baja; MEXICO between Rosarito and Ensena","2
1850ft2"
79,"Furnished, contemporary New Home! Park view",1250, san jose north,"1
1850ft2"
80,SUBLEASE....,1250, san jose downtown,1
81,Accommodation for Professionals - Cupertino - Apple/DeAnza/Highways,1250, cupertino,"1
400ft2"
82,"StudioRoom with Private Bath-Includes all utilities,CableTV & Internet",1250, san jose downtown,250ft2
83,"Flexible/Longterm Private Room + Shared Bathroom, Can Come Furnished",1250, san jose north,1
84,"Flexible/Longterm Private Room + Shared Bathroom, Can Be Furnished",1250, san jose north,"1
2500ft2"
85,Studio apartment in Santa Clara,1250, santa clara,475ft2
86,Great Location!!$1250 / 1br - Single Br guest for rent- Available Feb1,1250, milpitas,"1
550ft2"
87,!!!!!!IN DESIGN DISTRICT** 3BR/2BA SHARED ~APARTMENT AVAILABLE @SF!!!!,1284, â–¼â†“.â–¼Potreroâ†“.â–¼â†“1010.,NA
88,"$1290, Studio, Newly Remodeled, Private Entrance,  on El Cajon Drive",1290, san jose south,400ft2
89,Ideal location for SJSU student share,1290, san jose downtown,"1
150ft2"
90,1 bedroom available from 1st April @ River View Apartments San Jose,1291, san jose north,1
91,"Room for rent, Ready for move in!",1295, sunnyvale,1
92,"Room for rent, all utilities and housekeeper included.",1295, sunnyvale,1
93,Room for rent!! Great location! All the extras!,1295, sunnyvale,1
94,Furnished studio for rent - Private entry,1300, san jose north,500ft2
95,Cottage for Rent,1300, san jose south,1
96,Furnished + many extras including house cleaning*!,1300, santa clara,1
97,Roommate for 1 bedroom in 2-2 2 story Townhouse,1300, mountain view,"1
176ft2"
98,Rare Gem 1BED Space in San Jose,1310, san jose north,"1
712ft2"
99,"Private Clean Furnished Bedroom, near Google, all utilities included!",1350, 762 montrose ave palo alto ca 94303,"1
1200ft2"
100,Remodeled furnished master bedroom (2/24-3/16),1350, sunnyvale,"1
200ft2"
101,$1350 2 bed and 1.5 bath for rent,1350, san jose east,2
102,* Private entrance and exit. * This unit is an addition to a big house,1350, milpitas,"2
250ft2"
103,* Private entrance and exit. * This unit is an addition to a big house,1350, milpitas,"2
250ft2"
104,* Private entrance and exit. * This unit is an addition to a big house,1350, milpitas,"2
250ft2"
105,ROOMMATE NEEDED ASAP!,1350, santa clara,"2
1000ft2"
106,Two blocks to SJSU,1350, san jose downtown,"1
406ft2"
107,[Milpitas/åŒ—San Jose]ä¸€æˆ¿ä¸€åŽ…ä¸€æµ´,1380, milpitas,1
108,"$1395, Studio, Remodelled, Great loacation on Helmsley Dr",1395, san jose east,500ft2
109,Studio Apartment Available-SOON!,1395, san jose south,NA
110,Room for rent great location great price!,1395, sunnyvale,1
111,"Private detached single family studio, cozy, stylish",1395, san jose downtown,450ft2
112,"Room for rent, great location!",1395, sunnyvale,1
113,Looking for peace and quiet?,1400, Bonny Doon,"1
600ft2"
114,Home Sweet Home! Cottage/studio/in-law,1400, campbell,330ft2
115,1 Master Bedroom for Rent in a 4bed/3bath Modern Furnished House,1400, san jose downtown,"1
120ft2"
116,Detached Furnished Studio,1400, los gatos,600ft2
117,Huge master bedroom/studio w/ own private bathroom,1400, san jose south,300ft2
118,"Spacious, furnished Bed/full bath in Evergreen!",1400, san jose south,1
119,2 New Furnished rooms+Loft (500sq.ft)-Private Bathroom/Entrance,1400, san jose north,"2
500ft2"
120,Detached Private Studio,1400, san jose south,360ft2
121,"Private Ground Floor (1 bed,bath, family room). Utilities included.",1400, willow glen / cambrian,"1
500ft2"
122,Studio Apartment in the heart of Downtown,1400, san jose downtown,NA
123,1 Bedroom Unit on Estate,1400, gilroy,"1
450ft2"
124,"1 Bed, 1 Bath In-Law Unit",1400, san jose east,1
125,âœ“1 Bedroom In-Law Unit âœ“Utilites included,1400, san jose east,1
126,Need Housemates to Split Luxury Apartment -- 9 Mo,1400, sunnyvale,NA
127,"Spacious Room, Large Closets, Beautiful Pools and Gym",1400, sunnyvale,2
128,NEW Vacancy  -North San Jose,1400, san jose north,NA
129,Cozy 1bed space in N capitol,1410, san jose north,"1
720ft2"
130,Private 1Bed 1 Bath with Kitchen access in a 2BHk Apt,1422, milpitas,"1
1076ft2"
131,Sunny Master Bedroom w/large walkin close! Central Southbay location!,1425, Sunnyvale,1
132,$1445 Master bedroom with own bath great deal !!!,1445, san jose south,NA
133,Sunnyvale guest bedroom for rent $1450,1450, sunnyvale,1
134,Detached Furnished Studio,1450, los gatos,600ft2
135,Hotel Style Studio in Center of San Jose - 1 block from SJSU,1450, san jose downtown,1
136,1bed/1bath in a 2bed/2bath apartment **SINGLE OCCUPANCY ONLY**,1450, santa clara,"1
1300ft2"
137,Studio in Campbell,1450, campbell,450ft2
138,Studio,1450, san jose downtown,NA
139,Silicon Valley center Santa Clara 95051 - month to month lease-$1450,1450, santa clara,"1
500ft2"
140,In-Law 2 Rooms available- Warm Springs/ Milpitas Border,1450, South Fremont,NA
141,Call Now!! Vintage Studio Apt!!,1475, san jose downtown,450ft2
142,"Property to rent for as per your convenience...! ""Raintree Apartment""",1475, 1058 S. WINCHESTER BOULEVARD,1
143,"Great Location, Easy access to Freeway",1475, san jose south,1
144,"""""""Raintree Apartment Homes""""""",1475, 1058 S. WINCHESTER BOULEVARD,1
145,"Fully equipped kitchens, Walk-in closets, Easy freeway access",1475, san jose south,1
146,"Wonderful Location, close to life's conveniences!",1475, san jose south,1
147,"Easy Freeway access, Great Location",1475, san jose south,"1
521ft2"
148,"Naturally Well-Lit ""RAINTREE APARTMENT""",1475, 1058 S. WINCHESTER BOULEVARD,1
149,"Wonderful Location, close to life's conveniences!",1475, san jose south,1
150,"Beautiful Units with Great Amenities ""RAINTREE APARTMENTS""",1475, 1058 S. WINCHESTER BOULEVARD,1
151,"One bedroom, Great Location, Awesome Value!",1475, san jose south,"1
521ft2"
152,"Great Location, Awesome Value!",1475, san jose south,"1
521ft2"
153,San Jose Apartment in Downtown Available Immediately,1490, san jose downtown,NA
154,Sunny Garden Cottage Room for Rent $1490,1490, sunnyvale,"1
210ft2"
155,1bed/1bath Waiting List ONLY,1491,NA,"1
588ft2"
156,Make Parkside Terrace your HOME. 1bed/1bath. WAITING LIST OPEN!!,1491, san jose east,"1
588ft2"
157,1bed/1bath Waiting List ONLY,1491,NA,"1
588ft2"
158,Make Parkside Terrace your HOME. 1bed/1bath. WAITING LIST OPEN!!,1491, san jose east,"1
588ft2"
159,San Benito Apartments - MOVE IN SPECIAL,1495, hollister,"1
576ft2"
160,Room for rent in home with family! All utilities included!,1495, sunnyvale,1
161,"Room for rent, great location! All the extras!",1495, sunnyvale,1
162,In law unit for Rent available Now,1500, san jose south,NA
163,New 1-BrBa in a Safe and Quiet Community with Miles of Trails.,1500, san jose downtown,1
164,$1500/1br - One Bed-Room Studio (Milpitas) With A Private Entrance!,1500, milpitas,"1
500ft2"
165,Eichler House Furnished Private Room - nice location,1500, sunnyvale,"1
1000ft2"
166,åŒ—è–è·è¥¿å‚¢ä¿±å¥—æˆ¿å‡ºç§Ÿ,1500, san jose north,"1
250ft2"
167,åŒ—è–è·è¥¿å‚¢ä¿±å¥—æˆ¿å‡ºç§Ÿ,1500, san jose north,"1
250ft2"
168,Newly remodeled STUDIO for rent $1500,1500, san jose north,NA
169,Remodled Studio Near SJSU Available Soon !,1500, San Jose,NA
170,Private Downtown Studio Coming Soon! Minutes to SJSU!,1500, San Jose,500ft2
171,RV Space for Rent,1500, san jose south,NA
172,Sunnyvale 3b3b ä¸€æ¥¼æˆ¿é—´+å®¤å†…ç‹¬ç«‹,1500, sunnyvale,NA
173,Guest Suite for rent $1500 with Kitchenette,1500, willow glen / cambrian,"1
400ft2"
174,New 1-BRBa in a Safe and Quiet Community with Miles of Trails.,1500, san jose south,NA
175,Private Room for rent,1500, sunnyvale,NA
176,1 BD APT FOR ONE PERSON ON GATED COUNTRY PROPERTY,1500,NA,NA
177,Studio Apartment in the heart of Downtown,1500, san jose downtown,NA
178,"Pet Friendly, Master Suite, NO DEPOSIT",1500, san jose west,"1
1253ft2"
179,master suite No security deposit & pet friendly,1500, san jose west,3
180,"1 bedroom 1 bath apartment, spacious upstairs unit, walk-in closet",1500, san jose west,1
181,Studio,1500, san jose downtown,NA
182,New 1-BrBa in a Safe and Quiet Community with Miles of Trails.,1500, san jose downtown,1
183,Charming Cottage in Historical District,1500, santa clara,350ft2
184,New 1-BrBa in a Safe and Quiet Community with Miles of Trails.,1500, san jose south,1
185,No security deposit and pet friendly,1500, san jose west,3
186,Large Studio with Walk In Closet,1525, santa clara,400ft2
187,Sharp Second Floor Studio Available Now @ 42 S. 8th St #2,1540, san jose downtown,350ft2
188,In-law Studio,1550, sunnyvale,"1
250ft2"
189,"Best Location, Space and Price",1550, san jose west,510ft2
190,***Charming Studio! in Great Downtown location***,1550, san jose downtown,450ft2
191,Studio For Rent- Near Santana Row,1550, san jose west,1
192,Master Bedroom on golf course,1550, san jose south,"2
1400ft2"
193,Studio for rent near Campbell,1550, san jose west,NA
194,"In-Law Unit, 2 Rooms, Private Bath & Entrance, Mini Kitchen",1550, milpitas,2
195,"Single room open now â€“ access to Greenbelt, downtown, and tech corrido",1550, sunnyvale,NA
196,LUXURY and AFFORDABLE â€“ Get the best of both worlds! 12mo,1550, sunnyvale,NA
197,"5-star pools, spas, co-working spaces, near Tech Corridor - ROOM OPEN",1550, sunnyvale,NA
198,Classic Downtown Building Near Freeways,1575, san jose downtown,"1
600ft2"
199,Furnished New Room in Townhouse [Japantown],1575, san jose downtown,"1
1400ft2"
200,Furnished New Room in Townhouse [Japantown],1575, san jose downtown,"1
1400ft2"
201,Furnished New Room in Townhouse [Japantown],1575, san jose downtown,"1
1400ft2"
202,Furnished New Room in Townhouse [Japantown],1575, san jose downtown,"1
1400ft2"
203,Furnished Room in Townhouse in Japantown,1575, san jose downtown,"1
1400ft2"
204,Furnished Room in Townhouse in Japantown,1575, san jose downtown,"1
1400ft2"
205,Furnished New Room in New Townhouse (Fully Updated) in Japantown,1575, san jose downtown,"1
1400ft2"
206,Furnished Room in Townhouse in Japantown,1575, san jose downtown,"1
1400ft2"
207,Furnished New Room in Townhouse [Japantown],1575, san jose downtown,"1
1400ft2"
208,Furnished Room in Townhouse in Japantown,1575, san jose downtown,"1
1400ft2"
209,Furnished Room in Townhouse in Japantown,1575, san jose downtown,"1
1400ft2"
210,ðŸ–CONSIDER the MOVE ~ (LRG STUDIO AVAIL) ~ SVL >>SC,1590, sunnyvale,NA
211,"$1,595 - Updated 1 Bed, 1 Bath Upstairs Apartment near Japan Town/Secu",1595, San Jose,"1
600ft2"
212,One Bedroom Apt w/Hardwood Floors and A/C,1595, san jose downtown,"1
550ft2"
213,Studio Apartment in Great Location Near Downtown Milpitas,1595, milpitas,NA
214,Welcome Home to Balboa Apts.,1595, sunnyvale,NA
215,"Studio near Lawrence Caltrain Station, Must See, Completely remodelled",1600, santa clara,475ft2
216,$1600 FURNISHED One Bedroom garden apartment with washer and dryer,1600, santa clara,"1
400ft2"
217,"1br/1ba Bright, Cute, Private Entrance In-Law for SINGLE renter",1600, morgan hill,"1
500ft2"
218,SJ Downtown luxury apt,1600, san jose downtown,1
219,"1BR Apts for lease, 460 N 1st St Open House 2/26 3-6PM",1600, san jose downtown,"1
525ft2"
220,#NAME?,1600, san jose downtown,300ft2
221,Perfect One Bed/One bath near Lake,1600, san jose south,"1
400ft2"
222,$1600 Cambrian Park Studios Apartment Available in March,1600, willow glen / cambrian,NA
223,1bedroom/1bathroom apartment Ready March 1st,1600, san jose downtown,1
224,1Br/1Ba Suite with Separate Private Kitchen and Entrance ç¨é™¢,1600, milpitas,1
225,Rear Private unit (studio) with full updated kitchen and bath.,1600, san jose downtown,"1
280ft2"
226,Charming 1-bedroom condo nestled in the tranquil Villa Valencia,1600, san jose downtown,"1
544ft2"
227,Cottage Apartment in Great Neighborhood,1600, campbell,"1
600ft2"
228,Room for Rent,1600, san jose downtown,NA
229,Studio de renta,1600, san jose east,NA
230,Studio Apartment Move in ready,1600, san jose west,500ft2
231,Newly remodeled studio near Westfield Oakridge,1600, san jose south,350ft2
232,Beautiful Cottage Available in March!,1600, gilroy,450ft2
233,Spacious master suite/ In-law unit in excellent condition,1600, saratoga,"1
490ft2"
234,$1600 with Utilities - Roommate Wanted - Luxury High rise,1600, san jose downtown,1
235,Master bedroom-Private bath North San Jose,1625, san jose north,NA
236,Studio move in ready,1625, san jose downtown,350ft2
237,One Bedroom near Santana Row for $1627 a month,1627, san jose west,"1
567ft2"
238,Lowest Priced One Bedroom All Season! Call Now,1627, san jose west,"1
567ft2"
239,One Bedroom Home near Santana Row! Call Today!,1627, san jose west,567ft2
240,1BD/1BA Home Near Santana Row Available! Call Today!,1627, san jose west,"1
567ft2"
241,Lowest Priced one Bedroom Home in Prime Santana Row Location! Call now,1627, san jose west,"1
567ft2"
242,â–ºPre-Lease Cozy Ground Fl Studio â™  Move in March!,1645, santa clara,295ft2
243,"Beautifully Landscaped Community With Great Amenities, Move In March!",1645, santa clara,295ft2
244,â–ºâ†’Renovated Studios in Convenient Santa Clara Locationâ†â—„,1645, santa clara,295ft2
245,1 BD/1BA IN-LAW SUITE WITH PRIVATE ENTRY,1650, willow glen / cambrian,"1
500ft2"
246,Unique Private Studio Unit with Private Entrance,1650, san jose downtown,NA
247,"In-law unit 1 Bed 1 Bath at 549 1/2 Laswell Ave., San Jose, CA 95128",1650, san jose west,"1
425ft2"
248,Studio Apt Downtown SJ,1650, san jose downtown,550ft2
249,Studio,1650, sunnyvale,1
250,One bedroom apartment for rent,1650, san jose west,1
251,COTTAGE AVAILABLE IN FORMER MOUNTAIN RESORT,1650, Los Gatos/Santa Cruz mountains,1
252,Fully Furnished Master 1BR/1BA in 4BR/3.5BA Townhouse For Rent,1650, sunnyvale,"1
225ft2"
253,ä¸»å§å¥—æˆ¿ Private Master Suite+Dinning+Kitchen+Utility,1650, cupertino,"1
410ft2"
254,SHORT TERM (3 months) rental 1BR/1BA Upstair unit,1650, sunnyvale,NA
255,Private Large Master Bedroom/Walk-in Closet/Dual Sinks,1650, milpitas,1
256,STUDIO Apt. in Willow Glen: HW Floors. Kitchen w/Granite Counters!,1650, willow glen / cambrian,NA
257,Studio for Rent near Santana Row/Valley Fair,1650, san jose west,450ft2
258,Duplex available now,1650, san jose south,"1
600ft2"
259,COTTAGE AVAILABLE IN FORMER MOUNTAIN RESORT,1650, Los GatosSanta Cruz Mountains,1
260,Updated Sunnyvale Studio Move in by March 1st!,1650, sunnyvale,352ft2
261,Studio in Los Gatos,1650, los gatos,350ft2
262,COTTAGE AVAILABLE IN FORMER MOUNTAIN RESORT,1650, Los GatosSanta Cruz Mountains,1
263,"1 Bedroom 1 bath apartment, located in central San Jose",1675, san jose south,1
264,"L@@K  Comfortable, Clean & Affordable",1675, san jose west,"1
610ft2"
265,Furnished Studio for Rent w/all Utilities Included,1675, san jose east,"1
400ft2"
266,Furnished Studio for Rent w/all Utilities Included,1675, san jose downtown,"1
400ft2"
267,Furnished Studio for Rent w/all Utilities Included,1675, san jose south,"1
400ft2"
268,Furnished Studio for Rent w/all Utilities Included,1675, santa clara,"1
400ft2"
269,Furnished Studio for Rent w/all Utilities Included,1675, San Jose,"1
400ft2"
270,"$1695 - Updated 1 Bed, 1 Bath Upstairs Apartment near Japan Town/Secur",1695, san jose downtown,"1
600ft2"
271,"South San Jose Large 1-Bed, 1-Bath",1695, san jose south,"1
606ft2"
272,"HUGE master suite + PRIVATE bathroom, Fully furnished",1695, santa clara,1
273,Large One Bed Min. from San Jose City College Down Unit (Moorpark),1695, san jose west,1
274,Quiet Studio in Premier Naglee Downtown Neighborhood,1695, san jose downtown,500ft2
275,"1 Bed 1 Bath near Winchester Boulevard TOUR Mon, Wed, Fri, 5:30",1695, san jose south,1
276,MOVE IN SPECIAL! Studio! Apply http://villasantaclara.eprodesse.com,1695, santa clara,NA
277,Immediate Move-in One Month Free!,1699, san jose west,NA
278,Immediate Move-in One Month Free!,1699, san jose west,NA
279,Immediate Move-in One Month Free!,1699, san jose west,NA
280,Immediate Move-in One Month Free!,1699, san jose west,NA
281,Immediate Move-in One Month Free!,1699, san jose west,NA
282,Immediate Move-in One Month Free!,1699, san jose west,NA
283,Immediate Move-in One Month Free !,1699, san jose west,NA
284,Immediate Move-in One Month Free !,1699, san jose west,NA
285,Immediate Move-in One Month Free !,1699, san jose west,NA
286,Immediate Move-in One Month Free!,1699, san jose west,NA
287,Immediate Move-in One Month Free!,1699, san jose west,NA
288,Immediate Move-in One Month Free !,1699, san jose west,NA
289,Immediate Move-in One Month Free !,1699, san jose west,NA
290,Immediate Move-in One Month Free !,1699, san jose west,NA
291,Immediate Move-in One Month Free!,1699, san jose west,NA
292,Immediate Move-in One Month Free!,1699, san jose west,NA
293,Immediate Move-in One Month Free!,1699, san jose west,NA
294,Immediate Move-in One Month Free !,1699, san jose west,NA
295,Immediate Move-in One Month Free !,1699, san jose west,NA
296,Immediate Move-in One Month Free !,1699, san jose west,NA
297,1 Bedroom Upstairs Apartment in a 5 - plex close to Santa Clara U,1700, santa clara,1
298,Eichler House - Full Furnished Private Room,1700, sunnyvale,"1
1000ft2"
299,Sweetest Studio   $1700.00 with 1 year lease,1700, san jose north,450ft2
300,1 Bedroom 1 Bathroom,1700, santa clara,"1
460ft2"
301,San Jose 1BD 1BA Apt,1700, san jose downtown,"1
400ft2"
302,Luxury Shared 2x2 Apartment In Northern San Jose- Amazing Deal,1700, san jose north,"2
1365ft2"
303,Tasteful 1BED 1BATH Home for rent (Serious Applicants Only),1700, santa clara,"1
608ft2"
304,1 Bed/1 Bath Detached Unit,1700, cupertino,1
305,Cozy 1BED 1BATH apartment for rent (Serious Applicants Only),1700, santa clara,"1
608ft2"
306,"NO PETS, 2 Bedroom Home for Rent",1700, hollister,2
307,Studio,1700, willow glen / cambrian,500ft2
308,Cottage Downtown for rent,1700, morgan hill,400ft2
309,THE HUNTINGTON SENIOR 55 + COMMUNITY,1724, morgan hill,"2
758ft2"
310,$1724 / 2br - 808ft2 - THE LODGE SENIOR COMMUNITY 55+,1724, morgan hill,"2
808ft2"
311,THE HUNTINGTON SENIOR 55 + COMMUNITY,1724, morgan hill,"2
758ft2"
312,THE HUNTINGTON SENIOR 55 + COMMUNITY,1724, morgan hill,"2
758ft2"
313,THE HUNTINGTON SENIOR 55 + COMMUNITY,1724, morgan hill,"2
758ft2"
314,THE HUNTINGTON SENIOR 55 + COMMUNITY,1724, morgan hill,"2
758ft2"
315,THE HUNTINGTON SENIOR 55 + COMMUNITY,1724, morgan hill,"2
758ft2"
316,$1724 / 2br - 808ft2 - THE LODGE SENIOR COMMUNITY 55+,1724, morgan hill,"2
808ft2"
317,THE HUNTINGTON SENIOR 55 + COMMUNITY,1724, morgan hill,"2
758ft2"
318,$1731 / 2br - THE HUNTINGTON SENIOR COMMUNITY,1724, morgan hill,"2
786ft2"
319,$1724 / 2br - 808ft2 - THE LODGE SENIOR COMMUNITY 55+,1724, Morgan Hill,"2
808ft2"
320,$1724 / 2br - 808ft2 - THE LODGE SENIOR COMMUNITY 55+,1724, morgan hill,"2
808ft2"
321,THE HUNTINGTON SENIOR 55 + COMMUNITY,1724, morgan hill,"2
758ft2"
322,CORCORAN GARDEN APTS.,1725, sunnyvale,"1
600ft2"
323,"1BR/1B MOVE-IN READY MARCH 3RD, $1725 MONTHLY , DOWNTOWN SAN JOSE",1725, san jose downtown,"1
400ft2"
324,MOVE IN SPECIAL! Studio! Apply http://villasantaclara.eprodesse.com,1725, santa clara,NA
325,BRAND NEW UNITS READY NOW $$,1725,66,"1
592ft2"
326,"Beautiful Studio, 3390 El Camino Real -",1725, santa clara,NA
327,MOVE IN SPECIAL! Studio! Apply http://villasantaclara.eprodesse.com,1725, santa clara,NA
328,Beautiful Studio on El camino Real - 3390 El Camino Real,1725, santa clara,NA
329,MOVE IN SPECIAL! Studio! Apply http://villasantaclara.eprodesse.com,1725, santa clara,NA
330,Lovely Studio! Apply http://villasantaclara.eprodesse.com,1725, santa clara,NA
331,MOVE IN SPECIAL! Studio! Apply http://villasantaclara.eprodesse.com,1725, santa clara,NA
332,Lovely Studio! Apply http://villaalameda.eprodesse.com,1725, san jose west,NA
333,Updated Studio In San Jose,1737, santa clara,NA
334,Updated Studio In San Jose,1737, san jose west,NA
335,Updated Studio In San Jose,1737, san jose downtown,NA
336,Updated Studio In San Jose,1737, santa clara,NA
337,Updated Studio In San Jose,1737, san jose downtown,NA
338,Updated Studio In San Jose,1737, san jose west,NA
339,Charming Studio w/Private Patio,1740, sunnyvale,280ft2
340,$100 SECURITY DEPOSIT! Lovely 1x1 apt available NOW 2019 in SAN JOSE!,1745, san jose north,"1
550ft2"
341,Bright Large New Designer Granite Remodel - Gated Property *  BONUS *,1745, san jose downtown,1
342,Bright Large New Designer Granite Remodel - Gated Property *  BONUS *,1745, san jose downtown,1
343,Bright Large New Designer Granite Remodel - Gated Property *  BONUS *,1745, san jose downtown,1
344,"1 bed/1 bath in Downtown San Jose, $500 Off Move-In Special!(Leigh 6B)",1749, san jose downtown,"1
424ft2"
345,Rosa Crest Studio Apartments-Move in Special,1750, san jose west,400ft2
346,Conveniently Located Downtown Apartment,1750, san jose downtown,1
347,STUDIO *OASIS IN EVERGREEN AREA*UTILITIES INCLUDED,1750, san jose east,650ft2
348,Holly Oaks Apartments 1 Bedroom Units Available,1750, san jose west,"1
625ft2"
349,Walk to the Breakfast Club and Starbucks,1750, San Jose,"1
600ft2"
350,Huge deal. Big big big floor plan. Studio! Homestead,1750, santa clara,500ft2
351,Lovely Studio! Apply http://villaalameda.eprodesse.com,1750, san jose west,NA
352,Studio Available Now!$100 OFF Special!Hurry won't last!!,1750, sunnyvale,380ft2
353,Downtown Gilroy 1 bedroom Apartment,1750, gilroy,NA
354,Villa Alameda Apartments- Studio Available- Immediate Move In !,1750, san jose south,NA
355,Lovely Studio! Apply http://villaalameda.eprodesse.com,1750, san jose west,NA
356,Lovely Studio Available- Villa Santa Clara Apartments,1750, san jose east,NA
357,1 Bedroom Apartment,1750, morgan hill,1
