,Title,Price,Location,Bed
40,$1.000 Rooms for rent,1000, daly city,"5
120ft2"
41,"$1,000 Rooms for rent",1000, daly city,"5
120ft2"
42,sunnyvale stylish studio,1000, sunnyvale,NA
43,WOW! All-inclusive communal housing in the heart of SOMA San Francisco,1000, SOMA / south beach,NA
44,HOUSEMATE NEEDED in Luxury Apartments Sunnyvale,1000, sunnyvale,NA
45,Furnished Casita (studio),1000, dublin / pleasanton / livermore,199ft2
46,Fully Equipped Santa Rosa Studio,1000, santa rosa,NA
47,Neat Studio in Napa County,1000, napa county,NA
48,1000$ furnished bedroom(bathroom and private entrance) in San Jose,1000, san jose downtown,1
49,1 bed available (Single Occupancy only),1000, Oakland,1
50,3bathrm-four bed room House all neighborhoods,1019, sunnyvale,"3
1657ft2"
51,Urban Commune - Modern Room #20 in North Beach | Chinatown,1025, north beach / telegraph hill,80ft2
52,"Studio, ideally located near Flamingo Hotel",1025, santa rosa,300ft2
53,Newly upgraded studio in downtown,1035, vallejo / benicia,450ft2
54,< BUS RIDE AWAY FROM HILLBARN THEATRE**3BR/2BA SHARED UNIT FOR RENT<!<,1039, Foster City,NA
55,"=‼SPACIOUS SHARED APARTMENT AVAILABLE IN DT OAKLAND, SF WITH 3BR/2BA",1039, ┬¶┬¶┬¶Fourth Street East┬¶┬¶,NA
56,>3BR UNIT AVAILABLE WITH lUXARY AMENITIES IN A GOOD NEIGHBORHOOD<!<!<!,1040, ,NA
57,"******A clean, quiet, furnished place w/ private entry and bath + view",1040, Pinole,1
58,Room for rent in brand new 3BR/2BA apartment!,1041, Fourth Street East,NA
59,"^@FOR RENT, 3BR/2BA SHARED UNIT IN **THE JACK LONDON DISTRICT.@^",1041, Fourth Street East,NA
60,~IN A PRIME NEIGHBORHOOD!~~3BR UNIT WITH ~AMENITIES AVAILABLE~!~~,1043, ○•♦Fourth Street East♦○•,NA
61,#3BED/2BATH SHARED APARTMENT CLOSE TO THE HILLBARN THEATRE UP FOR LEAS,1044, Foster City,NA
62,Shared 3bedroom apartment available near a Starbucks in SV.!#,1044, Foster City,NA
63,Santa Cruz  - Nice unit  for people 62 yrs of age and over,1044, santa cruz,1
64,"••IN DT OAKLAND, SF WITH~ 3 BED/2 BATH~ SHARED UNIT AVAILABLE••",1046, ♦♥♦Fourth Street East♦♥,NA
65,Affordable Housing for Seniors 62+,1046," hercules, pinole, san pablo, el sob","1
539ft2"
66,"Shared 3BED apartment available on rent near Millbrae Station,SV.@!",1049, Foster City,NA
67,3BEDROOM/2BATHROOM SHARED&UNIT FOR RENT;NEAR STARBUCKS*,1049, Foster City`,NA
68,Amazing Opportunity to Live in Downtown,1050, north beach / telegraph hill,1
69,Private Furnished Room in Downtown,1050, north beach / telegraph hill,1
70,"Remarkable Value, Unbeatable Location",1050, north beach / telegraph hill,NA
71,Hayward 希活市獨立房出租,1050, hayward / castro valley,1
72,"Remarkable Value, Unbeatable Location",1050, north beach / telegraph hill,NA
73,Private room available on 12-month lease in a 2BR/2BA spacious unit!,1050, Oakland East,NA
74,Clean rooms vacant in shared 2-bedroom unit near grocery stores!,1050, Berkeley,NA
75,Spacious 2Br/2Ba shared apartment with clean rooms up for rent!,1050, Berkeley,NA
76,Affordable living! Wonderful for every budget!,1050, north beach / telegraph hill,1
77,Live in downtown - Lifestyle you crave!,1050, north beach / telegraph hill,1
78,"Remarkable Value, Unbeatable Location",1050, north beach / telegraph hill,NA
79,"AVAILABLE NOW, MULTIPLE ROOMS IN A 2BR UNIT, ACCESS TO BUS LINES.",1050, east bay area	Fourth Street East 2	Alameda,NA
80,Live at the Center of Modern Conveniences,1050, north beach / telegraph hill,NA
81,Live at the Center of Modern Conveniences,1050, north beach / telegraph hill,NA
82,Amazing Opportunity to Live in Downtown,1050, north beach / telegraph hill,1
83,1 room available in 4 bedroom apt,1050, oakland downtown,"4
990ft2"
84,Live at the Center of Modern Conveniences,1050, north beach / telegraph hill,NA
85,Live at the Center of Modern Conveniences,1050, north beach / telegraph hill,NA
86,"Beautiful Santa Rosa Home to share $1,050 month",1050, santa rosa,"3
2200ft2"
87,Amazing Opportunity to Live in Downtown,1050, north beach / telegraph hill,1
88,Charming Cottage Studio near San Jose State,1050, san jose downtown,250ft2
89,Unbelievable Rate! Furnished Room!,1050, north beach / telegraph hill,1
90,1 bedroom available in the Laurel District,1050, oakland hills / mills,NA
91,Amazing Opportunity to Live in Downtown,1050, north beach / telegraph hill,1
92,Live at the Center of Modern Conveniences,1050, north beach / telegraph hill,NA
93,Nice small Studio for rent,1050, emeryville,NA
94,Nice small Studio for rent,1050, emeryville,NA
95,Live at the Center of Modern Conveniences,1050, north beach / telegraph hill,NA
96,Private studio apartment in Victorian Triplex,1050, san jose downtown,130ft2
97,Live at the Center of Modern Conveniences,1050, north beach / telegraph hill,NA
98,Unbelievable Rate! Furnished Room!,1050, north beach / telegraph hill,1
99,Live in downtown - Lifestyle you crave!,1050, north beach / telegraph hill,1
100,Amazing Opportunity to Live in Downtown,1050, north beach / telegraph hill,1
101,1b1b Apartment available,1050, santa clara,"1
141ft2"
102,Live in downtown - Lifestyle you crave!,1050, north beach / telegraph hill,1
103,Amazing Opportunity to Live in Downtown,1050, north beach / telegraph hill,1
104,Private Furnished Room in Downtown,1050, north beach / telegraph hill,1
105,Live at the Center of Modern Conveniences,1050, north beach / telegraph hill,NA
106,"Remarkable Value, Unbeatable Location",1050, north beach / telegraph hill,NA
107,Amazing Opportunity to Live in Downtown,1050, north beach / telegraph hill,1
108,Amazing Opportunity to Live in Downtown,1050, north beach / telegraph hill,1
109,[]@@[]Brand-new 3BR/2BA shared ○○unit available for rent now! *****,1050, Fourt Street East,NA
110,"*+*+*3BR/2BA shared unit on-lease, ***located in Foster City, SV.+*+*+",1050, ‼Foster City‼,NA
111,"Remarkable Value, Unbeatable Location",1050, north beach / telegraph hill,NA
112,"Beautiful Santa Rosa Home to share $1,050 month",1050, santa rosa,"3
2200ft2"
113,"Remarkable Value, Unbeatable Location",1050, north beach / telegraph hill,NA
114,Private Furnished Room in Downtown,1050, north beach / telegraph hill,1
115,Live in downtown - Lifestyle you crave!,1050, north beach / telegraph hill,1
116,Amazing Opportunity to Live in Downtown,1050, north beach / telegraph hill,1
117,$1050 Downtown Berkeley vegetarian house,1050, berkeley,5
118,Live at the Center of Modern Conveniences,1050, north beach / telegraph hill,NA
119,"Remarkable Value, Unbeatable Location",1050, north beach / telegraph hill,NA
120,"Furnished hotel style, kitchen, HW flrs, W/D in unit 'to go', View",1050, Richmond,NA
121,Studio/Tiny in Downton Livermore - utilities included!,1050, dublin / pleasanton / livermore,"1
220ft2"
122,"{@••@}SHARED 3BED/2BATH UNIT FOR RENT IN OAKLAND, SF{@••@}",1052, {♦••}Hollis Oak{♦••},NA
123,">FULLY REMODELED4 RENT, 3BR/2BA SHARED UNIT IN THE JACK LONDON DISTRIC",1056, •••Fourth Street East•••,NA
124,@'BRAND-NEW'@ 3Bed/2Bath shared!@'luxury apartment on-lease!@'!@',1059, ''San Mateo'',NA
125,Excellent downtown studio,1075, vallejo / benicia,400ft2
126,Newly upgraded downtown studio,1075, Vallejo,400ft2
127,Newly upgraded studio in downtown,1075, vallejo / benicia,400ft2
128,Cozy Downtown studio,1075, vallejo / benicia,400ft2
129,Santa Clara University Area,1075,NA,2
130,1 private bedroom $1075 still available as of 2/26,1075, oakland east,NA
131,1 private room,1075, oakland east,NA
132,Private Room in Remodeled House within walking distance to BART!,1095, concord / pleasant hill / martinez,"1
118ft2"
133,Single Room Studios on MLK Jr Way,1095, oakland downtown,135ft2
134,Furnished Room for rent,1095, san jose west,2
135,"Castro Valley -RV, Trailer, Motorhome, 5th Wheel Space near CV BART",1095, hayward / castro valley,NA
136,"Castro Valley -RV, Trailer, Motorhome, 5th Wheel Space near CV BART",1095, hayward / castro valley,NA
137,Newly remodeled private 3 Rooms $1096 Each next to USF & SFSU,1096, inner richmond,3
138,Furnished Bedroom Bathroom private entrance In Single Family house,1100, san jose east,1
139,Furnished bedroom + private entrance + bathroom (Evergreen - San Jose),1100, san jose east,1
140,New Bedroom Attached Bathroom private entrance In Single Family house,1100, san jose downtown,1
141,"░▒▓New to SF,Priv Room+ Bath+!",1100,NA,NA
142,"Hill top lower duplex among redwoods, deck, wood floors",1100, russian river,1
143,Master Bedroom With Attached Bathroom private entrance In Single Famil,1100, san jose east,1
144,"Private Bedroom, Private bath, Private entrance",1100, san jose east,"1
250ft2"
145,"Apartment for Rent, Cloverdale",1100,NA,1
146,Tiny House Living Near Beach 1 Bdrm 1Bth.,1100, santa cruz,1
147,"Sunny Clean Studio, Utilities Included near Capitola Mall",1100, santa cruz,NA
148,$1100 Newly Remodeled furnished 1 Bed/Bath Studio in El Cerrito Hill,1100, albany / el cerrito,1
149,private entrance bedroom with attached brand-new bathroom,1100, san jose east,1
150,Room For Rent! Good Neighborhood. Close to SFSU!,1100, sunset / parkside,1
151,New Bedroom with Private bath and Private entrance,1100, san jose east,1
152,Furnished Bedroom Bathroom private entrance In Single Family house,1100, san jose north,1
153,Bedroom for Rent: Remodeled House - Easy access to anywhere in Bay Are,1100, Walk to Facebook,"5
1600ft2"
154,San Carlos Bedroom Available (March12) - Great View,1100, san carlos,4
155,Spacious 1bed 1 bath,1100," 1500 Taraval St, San Francisco","1
780ft2"
156,"$1,100 Rooms in House for rent",1100, daly city,"4
120ft2"
157,1 Bedroom In Law Apartment - $1100,1100, petaluma,"1
325ft2"
158,In search of a new roommate,1100, berkeley,2
159,New Bedroom Attached Bathroom private entrance In Single Family house,1100, san jose east,1
160,New Bedroom Attached Bathroom private entrance In Single Family house,1100, san jose north,1
161,New Bedroom Attached Bathroom private entrance In Single Family house,1100, san jose east,1
162,Bedroom + Private Entrace + Private Bath,1100, san jose downtown,1
163,Share Condo,1100, milpitas,2
164,1 Bed 1 Bath in a beautiful house AVAILABLE NOW for single occupancy,1100, san jose east,"1
400ft2"
165,Close to Apple/ De Anza College,1100, cupertino,1
166,Looking for femaie to share furnished apt,1100, lower pac hts,1
167,Newly remodeled single unit.  Privacy and convenience!,1100, san jose downtown,NA
168,1 Bedroom in 4b/3.5b modern townhome,1100, dublin / pleasanton / livermore,4
169,Large room for rent $1100,1100, san bruno,1
170,Furnished Bedroom + Bathroom private entrance In Single Family house,1100, san jose east,1
171,New Bedroom Attached Bathroom private entrance In Single Family house,1100, san jose north,1
172,New Bedroom Attached Bathroom private entrance In Single Family house,1100, san jose east,1
173,Furnished Bedroom + Private Entrance + Private Bath,1100, san jose downtown,1
174,One Bedroom,1100, rohnert pk / cotati,1
175,Cozy Studio Close to Mills College,1100, oakland east,1
176,$1100 Single bedroom available in huge 4 BR 2.5 bath 3rd floor flat,1100, inner richmond,1
177,1 Bedroom Apt. Country Setting,1100, lake county,"1
620ft2"
178,Rv space for rent in prunedale,1100, prunedale,NA
179,RV space for rent in Prundale .,1100, Prunedale,NA
180,1bd room full bath studio,1100, hayward / castro valley,1
181,Studio,1100, scotts valley,"1
350ft2"
182,Furnished Bedroom + Private Entrance + Private Bath,1100, san jose east,1
183,Furnished Bedroom Bathroom private entrance In Single Family house,1100, san jose east,1
184,1 Br-Studio Apartment Available Mid-March,1100, scotts valley,1
185,北San Jose Berryessa全新工业风民,1100, san jose downtown,1
186,Silver Terrace District Upper level one bedroom for Rent,1100, bayview,"1
120ft2"
187,$1120 Furnshd Queen Bedrm and Shared Bath.  Avlb NOW or Mar 1st,1120, fremont / union city / newark,"1
175ft2"
188,$1120 Furnshd Queen Bedrm and Shared Bath.  Avlb NOW or Mar 1st,1120, fremont / union city / newark,"1
175ft2"
189,$1120 Furnshd Queen Bedrm and Shared Bath.  Avlb NOW or Mar 1st,1120, fremont / union city / newark,"1
175ft2"
190,$1120 Furnshd Queen Bedrm and Shared Bath.  Avlb NOW or Mar 1st,1120, fremont / union city / newark,"1
175ft2"
191,$1120 Furnshd Queen Bedrm and Shared Bath.  Avlb NOW or Mar 1st,1120, fremont / union city / newark,"1
175ft2"
192,Altamont Senior Complex 55+ Penthouse Apartment!,1125, rohnert pk / cotati,450ft2
193,"Spacious room available in 3 bedroom house, quiet neighborhood",1125, berkeley,3
194,1 Bedroom in a 3 Bedroom Apartment in the Outer Sunset with Oce,1125, sunset / parkside,3
195,Hayward Studio,1135, hayward / castro valley,NA
196,Move in Ready 1 bed 1 bath for $1135 with a MtM Lease,1135, pittsburg / antioch,"1
680ft2"
197,UCSF Mission Bay Housing,1147, mission district,1
198,"PITTSBURG, beautiful  1 bedroom",1150, pittsburg / antioch,"1
700ft2"
199,$1150 2bd 1ba 850sf Total! Updated. Shared Living.,1150, dublin / pleasanton / livermore,NA
200,Furnished Clean Bright Room near Palo Alto!,1150,NA,NA
201,Private room with private bathroom for rent,1150, san jose downtown,"2
1100ft2"
202,Private Bedroom in Elk Ridge Estates Off 87 & Hillsdale.,1150, san jose downtown,1
203,Nice small Studio for rent,1150, emeryville,NA
204,Sunshine room close to UCSF,1150, inner sunset / UCSF,NA
205,Looking for someone to fill masterbedroom,1150, ingleside / SFSU / CCSF,1
206,1Bd and 1 shared bathroom Available for rent inside 3 bed apartment.!,1150, oakland downtown,"1
700ft2"
207,1Bd and 1 shared bathroom Available for rent inside 3 bed apartment.!,1150, oakland downtown,"1
700ft2"
208,One bedroom apartment for rent,1150, SOMA / south beach,NA
209,Bright Bedroom with private bathroom and Laundry in Garage,1150, inner sunset / UCSF,1
210,Private room/apt across from UCB   (VID)- No Stove + shared shower/tub,1150, berkeley,NA
211,Cozy country cottage,1150, sebastopol,"1
250ft2"
212,Cute Small 1bedroom,1150, vallejo / benicia,1
213,"Beautiful, bright Master bedroom",1150, inner sunset / UCSF,1
214,Quiet and Clean Studio Apartment Available,1150, san leandro,"1
135ft2"
215,Furnished rooms w/private bath and kitchenette,1150, santa rosa,"2
340ft2"
216,LOCATION! Inner Sunset Master bedroom on 25th Ave/Kirkham,1150, inner sunset / UCSF,1
217,Live at the Center of Modern Conveniences,1150, north beach / telegraph hill,NA
218,$1150 / 1br - 500ft2 - Casita/ In-law House for Rent Mountain House,1150, brentwood / oakley,"1
500ft2"
219,"Remarkable Value, Unbeatable Location",1150, north beach / telegraph hill,NA
220,Join our vibrant sunset home :),1150, sunset / parkside,3
221,Clean Large Room for Rent in 2bdrm-Only 2 total including you!,1150, santa clara,2
222,1x1 $1155 MTM Lease,1155, pittsburg / antioch,"1
680ft2"
223,1x1 $1155 for with A MTM Lease,1155, pittsburg / antioch,"1
680ft2"
224,💙💙 Cozy private furnished room for rent 💙💙,1160, sunnyvale,1
225,Affordable Housing Available Huuuuurrrrry!!!,1162," hercules, pinole, san pablo, el sob","1
678ft2"
226,Fully Furnished Room Private Entrance,1175,NA,1
227,Nice and clean room for rent utilities included,1175,NA,1
228,"RV parking in Mt.Madonna. ocean views, forest - peace and quiet.",1175, watsonville,NA
229,1 Bedroom Apartment Available,1175, fairfield / vacaville,400ft2
230,bright & spacious room*sfsu*ucsf* hwy 101,1175,NA,1
231,1 BEDROOM AVAILABLE,1175, fairfield / vacaville,NA
232,1x1 $1175/ Move in Ready  MTM Lease,1175, pittsburg / antioch,"1
680ft2"
233,1x1 $1175 with A MTM Lease,1175, pittsburg / antioch,"1
680ft2"
234,12x14 One spacious bedroom,1175,NA,"1
170ft2"
235,Lakeport Studio Apartment,1180, lake county,1
236,bright & spacious room*sfsu*ucsf* hwy 101,1180,NA,1
237,beautiful private room*sfsu*ucsf*sfo* hwy 101,1180,NA,1
238,Newly Remodeled Apartment in Concord with modern luxury Lifestyle,1180, concord / pleasant hill / martinez,"2
1090ft2"
239,bright & spacious room*sfsu*ucsf* hwy 101,1180,NA,1
240,"獨1睡浴PRIVATE 1 BD.BA. next to SFSU, CCSF & BART",1188, excelsior / outer mission,NA
241,"獨1睡浴PRIVATE 1 BD.BA. next to SFSU, CCSF & BART",1188, excelsior / outer mission,NA
242,"獨1房Private studio bathroom next to SFSU,CCSF BART",1188, excelsior / outer mission,1
243,"NEW 2018 Luxury Winnebago - Safe, Sunny w/yard & parking",1190, santa cruz,1
244,1 bedroom fully remodeled DIXON,1190, dixon,1
245,Apartment in Dixon 1 bedrooms 1 bath,1190, dixon,1
246,SPACIOUS 1BD/1BA APARTMENT!,1195, fairfield / vacaville,1
247,"Private hillside lower duplex deck, shared laundry",1195, russian river,240ft2
248,Comfortable cozy room,1195, richmond / point / annex,NA
249,Comfortable cozy room,1195, richmond / point / annex,NA
250,**Room Available In 2 Bedroom House**April 1st Move In**,1197, richmond / seacliff,"2
1100ft2"
251,RV fully equipped home away from home,1199, fremont / union city / newark,"1
240ft2"
252,"SRO, (Single Room Occupancy) nice & clean unit, just renovated",1200, lower nob hill,90ft2
253,"Townhouse share - 2 bed 2-1/2 w/private full-bath, laundry, garage",1200, walnut creek,2
254,1 Master Bedroom for Rent in a 4bed/4bath Modern Townhouse,1200, san jose downtown,"1
100ft2"
255,Convenient Location! Furnished Room!,1200, north beach / telegraph hill,1
256,"$1200 / 1br - 450ft2 - Studio Apartment for RENT! $1,200 (fairfield /",1200, fairfield / vacaville,450ft2
257,"$1200 / 1br - 450ft2 - Studio Apartment for RENT! $1,200 (fairfield /",1200, fairfield / vacaville,450ft2
258,"$1200 / 1br - 450ft2 - Studio Apartment for RENT! $1,200 (fairfield /",1200, fairfield / vacaville,450ft2
259,"$1200 / 1br - 450ft2 - Studio Apartment for RENT! $1,200 (fairfield /",1200, fairfield / vacaville,450ft2
260,"$1200 / 1br - 450ft2 - Studio Apartment for RENT! $1,200 (fairfield /",1200, fairfield / vacaville,450ft2
261,"$1200 / 1br - 450ft2 - Studio Apartment for RENT! $1,200 (fairfield /",1200, fairfield / vacaville,450ft2
262,"$1200 / 1br - 450ft2 - Studio Apartment for RENT! $1,200 (fairfield /",1200, fairfield / vacaville,450ft2
263,"$1200 / 1br - 450ft2 - Studio Apartment for RENT! $1,200 (fairfield /",1200, fairfield / vacaville,450ft2
264,"$1200 / 1br - 450ft2 - Studio Apartment for RENT! $1,200 (fairfield /",1200, fairfield / vacaville,450ft2
265,"$1200 / 1br - 450ft2 - Studio Apartment for RENT! $1,200 (fairfield /",1200, fairfield / vacaville,450ft2
266,Senior Housing (55+ ONLY) -- Cozy Upgraded Studio,1200, oakland east,528ft2
267,STUDIO RENTALS NOW AVAILABLE CALL FOR MORE INFO!,1200, vallejo / benicia,NA
268,Spacious Studio,1200, sebastopol,600ft2
269,Adorable Studio,1200, sonoma,NA
270,PRIVATE ROOM AVAILABLE FOR TRAVEL RN,1200, santa clara,1
271,Room by ocean beach,1200, sunset / parkside,"2
110ft2"
272,Cute and cozy studio,1200, san carlos,200ft2
273,Need a roommate!! $1200 private br/bth,1200, willow glen / cambrian,2
274,全新装修套房出租,1200, excelsior / outer mission,190ft2
275,Private furnished room for rent,1200, sunnyvale,1
276,1BR 1BA Healdsburg duplex,1200, healdsburg / windsor,1
277,Private Room for Rent - Prime Location,1200, sunset / parkside,NA
278,Fully Furnished one room near Apple for rent,1200, sunnyvale,"1
250ft2"
279,Convenient Location! Furnished Room!,1200, north beach / telegraph hill,1
280,Convenient Location! Furnished Room!,1200, north beach / telegraph hill,1
281,"1B1B for rent in 4B4B Mount View Townhouse,San Jose,95136",1200, san jose south,1
282,One of it kind apartment for rent now,1200," Pittsburg, CA","3
1720ft2"
283,1Bd and 1 shared bathroom Available for rent inside 3 bed apartment.!,1200, oakland downtown,"1
700ft2"
284,Studio--South SJ,1200, san jose south,NA
285,*Studio w/ Close Proximity to FiDi & The Embarcadero!*,1200, financial district,NA
286,1 BR 1 BA in a nice spacious house,1200, sunnyvale,"1
1600ft2"
287,Convenient Location! Furnished Room!,1200, north beach / telegraph hill,1
288,Adorable 1bd 1bth Cottage w Huge Fenced Backyard & Fire Pit,1200, mendocino county,1
289,This really bright one bedroom,1200, santa cruz,1
290,Convenient Location! Furnished Room!,1200, north beach / telegraph hill,1
291,Convenient Location! Furnished Room!,1200, north beach / telegraph hill,1
292,Tiny studio with large patio garden,1200, vallejo / benicia,500ft2
293,Funished bedroom near SFSU,1200, 3711 19th Ave,"2
1000ft2"
294,Excellent location Nice 1BR 1BA in a house,1200, sunnyvale,"1
1600ft2"
295,PRIVATE ROOM AVAILABLE FOR TRAVEL RN,1200, santa clara,1
296,Rent out 1 or 2  of my 4 Bdrm 2.5 Bath Home,1200, petaluma,"4
1900ft2"
297,Nob Hill Studio,1200, nob hill,NA
298,Newly Remodled Studio,1200, santa rosa,370ft2
299,Convenient Location! Furnished Room!,1200, north beach / telegraph hill,1
300,Mobile Home on Ranch,1200, dublin / pleasanton / livermore,"1
700ft2"
301,"Beautiful In-Law Unit Studio $1,200",1200, inner sunset / UCSF,200ft2
302,Studio in Monte Rio,1200, russian river,360ft2
303,"Newly Renovated Bedroom - Private Bathroom, Private Entrance",1200, milpitas,1
304,"Luxury Master Bedroom Suite - Private Bathroom,Private Entrance",1200, milpitas,1
305,新裝修套房獨立衛生間,1200, milpitas,1
306,"1BR/1BA, Almaden/Los Gatos Border, South and West San Jose",1200, San Jose,1
307,Cozy Living place,1200, san jose north,1
308,Nice & Cozy place ~,1200, milpitas,1
309,luxury one bedroom for rent,1200, bernal heights,1
310,Available immediately.,1200, aptos,1
311,Charming 1 bedroom/bath apartment,1200, berkeley,1
312,Spacious 1 bed/1 bath home,1200, watsonville,1
313,One Bedroom Suite Available immediately!,1200, sunnyvale,1
314,"Brand New In-Law Private Studio w/private bath, kitchenette for $1200",1200, daly city,280ft2
315,"Quite,quaint and personal Cupertino gem",1200, Cupertino,"1
700ft2"
316,Room for rent in South SF,1200, south san francisco,NA
317,Nice & Cozy place ~,1200, milpitas,1
318,Nice & Cozy place ~,1200, san jose north,1
319,I am Renting a Room in San Bruno,1200, san bruno,NA
320,Room for Rent,1200, san bruno,NA
321,1 Bedroom/Bathroom In-Law Studio!,1200, ingleside / SFSU / CCSF,1
322,"Spacious, single bedroom in shared apartment (women only)",1200, russian hill,1
323,"Master Room, Beautiful Area (Close to BART)",1200, concord / pleasant hill / martinez,1
324,"Master Room, Beautiful Area (Close to BART)",1200, concord / pleasant hill / martinez,1
325,Spacious studio in oakland,1200, oakland lake merritt / grand,380ft2
326,In law studio $1200/$1600,1200, daly city,120ft2
327,3220 Pearl Ave,1200, san jose north,"1
690ft2"
328,$1500/mo.  2br - Motorhome * 34' Winnebago - month to month rental,1200, santa rosa,"2
300ft2"
329,Cabins in ForestVille short walk to beach,1200, russian river,1
330,Single room VERY CLOSE to SFSU for rent,1200, ingleside / SFSU / CCSF,1
331,Cottage for rent,1200, mendocino county,"1
800ft2"
332,Studio in Boulder Creek,1200, boulder creek,NA
333,Townhome,1200, San Jose,1
334,Nice & Cozy place ~,1200, N. San Jose,1
335,Studio for rental in Fruitvale district,1200, oakland east,250ft2
336,1 bedroom suite,1200, san leandro,1
337,$1200 Room with private bath near San Mateo caltrain ready to move in,1200, san mateo,1
338,Private furnished bedroom with bathroom - No Kitchen!,1200, west portal / forest hill,200ft2
339,*Sunnyvale *1BR studio apartment(Downtown),1200, sunnyvale,1
340,*San Leandro *1BR studio apartment(Downtown),1200, san leandro,1
341,*San Rafael *1BR studio apartment(Downtown),1200, san rafael,1
342,Updated Studio for Rent,1200, daly city,1
343,Single room VERY CLOSE to SFSU for rent,1200, ingleside / SFSU / CCSF,1
344,Single Private Room w/UTILITIES Included!!,1200, ingleside / SFSU / CCSF,1
345,1 BED/BATH Downtown Martinez,1200, concord / pleasant hill / martinez,1
346,3 bed 2 bath house and under the restaurant to rent,1200, sfbay,"3
1784ft2"
347,In-Law Rental Unit,1200, ingleside / SFSU / CCSF,1
348,1 BD APT IN THE COUNTRY,1200, Gilroy,NA
349,PRIVATE 2 Gyms for rent... Living Space available too.,1200, novato,"1
1300ft2"
350,"$1,200 Master Bedrooms in Quiet Neighborhood North SJ",1200, san jose north,"1
1350ft2"
351,Nice Studio for lease 独立套房出租,1200, san jose west,"1
200ft2"
352,Studio In-Law Unit,1200, daly city,NA
353,1 bed 1 bath apartment in Berkeley Available for rent,1200, berkeley,1
354,"$1200 Studio,1 bath, 280 sq. ft.plus loft near Windsor",1200, santa rosa,"1
280ft2"
355,The house has bamboo flooring in main areas,1200," Petaluma, CA","2
1151ft2"
356,3220 Pearl Ave,1200, san jose south,"1
690ft2"
357,Furnished - In law unit back of the house,1200, santa rosa,1
358,Great Location- One Bedroom Unit,1200, santa cruz,NA
359,Studio in Concord,1200, concord / pleasant hill / martinez,225ft2
360,1 Private Room with own Bathroom and Shower in East Oakland near Fruit,1200, oakland east,NA
361,Furnished 1 Bedroom,1200, lake county,700ft2
362,"spectacular OCEAN views and  Walk to beach, 2 plus 2, one story",1224," la Mision, Baja; MEXICO between Rosarito and Ensena","2
1850ft2"
363,"Cozy & Clean In-Law Studio with Study Den, Private Bathroom & Kitchene",1225, ingleside / SFSU / CCSF,NA
364,One bedroom available,1225, sunset / parkside,2
